"ID" "Maternal_Parent" "Data_Set" "Delta_CT" "Delta_CT_OG" "Fes_to_Epi_Ratio" "Standard" "Alkaloid_Plate" "ng.g" "Extraction_Date" "Extractor" "Harvest_Date"
"302-5-8" "302" "81-160" 6.019 -5.24333333333333 1.38812225947898 "First_combo" "17" 3985.95 "05/01/23" "Darrian" "2/15/2023"
"303" "303" "315x320" -6.539 -3.55 0.673295028728454 "Pre_combo" NA NA "03/16/23" "Darrian" "2/27/2023"
"303-1-1" "303" "81-160" 7.136 -3.02333333333333 1.50671021799333 "First_combo" "1" 12874.861 "05/01/23" "Darrian" "2/16/2023"
"303-1-11" "303" "81-160" 7.183 -2.54333333333333 1.53199525996149 "First_combo" NA NA "05/01/23" "Darrian" "2/16/2023"
"303-1-15" "303" "81-160" 6.788 -3.02666666666667 1.49915434958453 "First_combo" NA NA "05/01/23" "Darrian" "2/16/2023"
"303-1-18" "303" "81-160" 7.383 -3.72666666666667 1.48013266566951 "First_combo" "2" 6456.18 "05/01/23" "Darrian" "2/16/2023"
"303-1-19" "303" "81-160" 7.374 -3.01 1.51211889714564 "First_combo" NA NA "05/01/23" "Darrian" "2/16/2023"
"303-1-2" "303" "81-160" 6.597 -3.60333333333333 1.46764017863472 "First_combo" "1" 14723.121 "05/01/23" "Darrian" "2/16/2023"
"303-1-3" "303" "81-160" 7.635 -2.68166666666667 1.5331331610921 "First_combo" NA NA "05/01/23" "Darrian" "2/16/2023"
"303-1-45" "303" "161-240" -3.012 -3.54 0.851610996157257 "First_combo" "2" 10626.862 "05/02/23" "Holly" "2/16/2023"
"303-1-8" "303" "161-240" -3.734 -4.47333333333333 0.81875546063489 "First_combo" "1" 9018.172 "05/02/23" "Holly" "2/16/2023"
"303-1-9" "303" "161-240" -3.856 -4.6 0.826805605461732 "First_combo" "1" 6642.4 "05/02/23" "Holly" "2/7/2023"
"303-2-11" "303" "161-240" -1.754 -1.90666666666667 0.912771036403421 "First_combo" "3" 11922.626 "05/02/23" "Holly" "2/7/2023"
"303-2-14" "303" "161-240" -3.273 -3.86666666666667 0.843486993114002 "First_combo" "3" 12051.121 "05/02/23" "Holly" "2/7/2023"
"303-2-15" "303" "161-240" -2.525 -2.87333333333333 0.885612032255142 "First_combo" "3" 22101.181 "05/02/23" "Holly" "2/7/2023"
"303-2-16" "303" "161-240" -2.678 -3.11666666666667 0.86366644606221 "First_combo" NA NA "05/02/23" "Holly" "2/7/2023"
"303-2-18" "303" "161-240" -2.629 -3.04 0.871171656784437 "First_combo" "3" 13963.227 "05/02/23" "Holly" "2/7/2023"
"303-2-19" "303" "161-240" -3.609 -4.3 0.829119318181818 "First_combo" "4" 10837.293 "05/02/23" "Holly" "2/7/2023"
"303-2-20" "303" "161-240" -2.707 -3.15 0.864269955876454 "First_combo" "4" 16327.039 "05/02/23" "Holly" "2/7/2023"
"303-2-23" "303" "161-240" -1.608 -1.73666666666667 0.915488516318915 "First_combo" "4" 22319.09 "05/02/23" "Holly" "2/7/2023"
"303-2-24" "303" "161-240" -2.14 -2.42333333333334 0.889325610260654 "First_combo" NA NA "05/02/23" "Holly" "2/7/2023"
"303-2-28" "303" "161-240" -2.126 -2.41 0.888428234059302 "First_combo" "4" 14004.019 "05/02/23" "Holly" "2/7/2023"
"303-2-30" "303" "161-240" -2.174 -2.47666666666667 0.884619467147861 "First_combo" NA NA "05/02/23" "Holly" "2/7/2023"
"303-2-31" "303" NA NA NA NA NA "5" 31205.772 NA NA "2/7/2023"
"303-2-33" "303" "161-240" -2.746 -3.21333333333333 0.857217138103161 "First_combo" "5" 13829.667 "05/02/23" "Holly" "2/7/2023"
"303-2-35" "303" "161-240" -3.421 -4.06666666666667 0.83352798053528 "First_combo" "5" 14334.443 "05/02/23" "Holly" "2/9/2023"
"303-2-38" "303" "161-240" -2.89 -3.39333333333333 0.852888775769916 "First_combo" "5" 11822.7 "05/02/23" "Holly" "2/9/2023"
"303-2-4" "303" "161-240" -3.837 -4.59333333333333 0.820179960633611 "First_combo" "2" 7349.2 "05/02/23" "Holly" "2/9/2023"
